col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12
C,M,2,1,-,161.3029792,-59.7461583,287.6426002,-0.6751438,T,T,C
C,M,2,1,-,161.303625,-59.7386778,287.6394035,-0.6683727,T,T,C
C,M,2,1,-,161.3188208,-59.7269389,287.640715,-0.6544176,T,T,C
C,M,2,1,-,161.3357208,-59.7142361,287.6423441,-0.6392084,M,T,C
C,M,2,1,-,161.5935917,-59.8890139,287.8383179,-0.733924,T,N,C
C,M,3,1,-,218.7267917,-60.4277139,315.366095,-0.0781574,T,,
C,M,3,1,-,206.3379292,-62.4264917,309.1256193,-0.2048493,T,,
C,M,0,2,+,307.7939292,41.5315194,80.1685733,1.2295946,T,S,C
C,M,0,2,+,308.4421292,41.5502917,80.4715528,0.8501587,T,S,C
C,M,0,2,+,308.5354708,41.6165056,80.5663569,0.8336343,T,S,C
C,M,0,2,+,308.115275,41.4394667,80.2368284,0.9810661,T,S,C
C,M,0,2,+,308.1607292,41.4204889,80.2417787,0.9423738,T,S,C
C,M,0,2,+,308.2083792,41.3957528,80.2431011,0.8989301,T,S,C
C,M,0,2,+,307.9569375,41.4740306,80.1943552,1.0971399,T,S,C
C,M,0,2,+,308.2865,41.2218389,80.1381265,0.7483573,A,B,C
C,M,0,2,+,308.2868125,41.2214889,80.137985,0.7479602,A,B,C
C,M,0,2,+,308.2899917,41.2168167,80.1356516,0.7432586,A,B,C
C,M,0,2,+,308.2921458,41.2194722,80.1387504,0.7435359,A,B,C
C,M,0,2,+,308.3228417,41.2859194,80.2058919,0.7645262,M,B,C
C,M,0,2,+,308.3564125,41.5574278,80.4390615,0.9059262,A,S,C
C,M,0,2,+,308.4980333,41.2931889,80.2901863,0.6631531,M,S,C
C,M,0,2,+,308.5562708,41.5841694,80.549706,0.8018482,T,S,C
C,M,0,2,+,307.9062875,41.2225028,79.969028,0.9790031,T,S,C
C,M,0,2,+,308.0576083,41.4533278,80.2223565,1.0240917,T,S,C
C,M,0,2,+,308.2485125,41.254075,80.1470574,0.7904931,M,S,C
C,M,0,2,+,308.093425,41.3052528,80.1190312,0.9146595,T,S,C
C,M,0,2,+,308.0937042,41.3054028,80.1192764,0.9145796,A,S,C
C,M,0,2,+,308.1893625,41.4270833,80.2598358,0.9290138,T,S,C
C,M,0,2,+,308.3088125,41.3394056,80.242609,0.8048239,T,B,C
C,M,0,2,+,308.4041708,41.2698056,80.2293484,0.70583,M,S,C
C,M,0,2,+,308.591375,41.2837778,80.3245251,0.6012765,M,S,C
C,M,0,2,+,308.312825,41.3140306,80.2240065,0.787303,T,B,C
C,M,0,2,+,308.3114833,41.3116083,80.2214599,0.7866715,T,B,C
C,M,0,2,+,308.3249042,41.3086611,80.2250911,0.7768161,T,B,C
C,M,0,2,+,308.3180333,41.317225,80.2289021,0.7860601,A,B,C
C,M,0,2,+,308.2947208,41.2522806,80.1662761,0.761497,T,S,C
C,M,0,2,+,308.1314292,41.2356139,80.0799103,0.8503524,M,S,C
C,M,0,2,+,308.683775,40.86625,80.0315483,0.2957419,M,S,C
C,M,0,2,+,307.6137583,41.2236972,79.8401524,1.1573553,M,S,C
C,M,0,1,+,299.5903208,35.2016139,71.3350005,3.0668346,T,S,C
D,M,1,2,+,341.7254625,58.0843194,107.066521,-0.8988363,T,N,C
D,M,1,0,+,35.7980667,60.8306056,133.8823057,-0.0753812,T,S,
E,M,2,1,-,168.0187625,-61.0952611,291.2157405,-0.5042094,T,A,
G,M,2,1,-,181.4578292,-69.5730556,298.9454346,-7.0550685,T,,
H,M,1,0,+,25.2198417,64.1730917,128.2855622,1.8164668,T,,
H,M,2,1,-,174.4518167,-63.3231972,294.7783506,-1.6230324,T,I,C
H,M,2,1,-,174.5413,-63.1968361,294.7815561,-1.4904507,T,I,C
H,M,2,1,-,174.5506958,-63.3907722,294.8398871,-1.6754619,T,I,C
H,M,2,1,-,174.5848958,-63.3727639,294.8495715,-1.653889,T,I,C
H,M,2,1,-,174.5948667,-63.2007778,294.8058567,-1.4874866,T,I,C
H,M,2,1,-,174.7636542,-63.4297417,294.9423286,-1.6863825,T,I,C
H,M,2,1,-,174.9409833,-63.4778167,295.0317911,-1.7107866,T,I,C
H,M,2,1,-,174.9581708,-63.4787667,295.0394361,-1.7095988,T,I,C
H,M,2,1,-,175.1541958,-62.568075,294.8770849,-0.809088,T,I,C
H,M,2,1,-,176.7266833,-61.4630528,295.3035582,0.4492521,T,,
H,M,2,1,-,180.6158125,-58.2428778,296.5075698,4.0166766,T,,
H,M,2,1,-,182.4357458,-62.5818361,298.1528739,-0.0976055,T,,
H,M,1,0,+,1.5141083,63.6796528,117.9267574,1.2497845,T,,C
H,M,3,1,-,190.5529167,-60.6524194,301.8008573,2.1990669,T,,C
H,M,3,1,-,193.9880583,-56.8358028,303.5527053,6.0305058,T,,
H,M,3,1,-,196.6347917,-65.0804278,304.522917,-2.2553381,T,,
H,M,3,1,-,198.4397,-63.5865972,305.4113579,-0.8223546,T,,C
H,M,3,1,-,198.6849208,-63.5810472,305.5205283,-0.8264755,T,,C
H,M,3,1,-,199.0200083,-62.5837417,305.7642466,0.1524156,T,S,C
H,M,3,1,-,199.6473333,-62.4912194,306.0613737,0.2154378,T,R,C
H,M,3,1,-,200.9843917,-59.8096667,307.0123789,2.8043504,T,L,C
H,M,3,1,-,202.5979958,-78.8557139,304.8822913,-16.1317534,T,,
H,M,3,1,-,203.0358333,-60.8154083,307.8763343,1.6649697,T,,C
H,M,3,1,-,203.5499292,-62.4171667,307.8593259,0.0447778,T,R,C
H,M,3,1,-,203.6808917,-63.3354222,307.765677,-0.8706389,T,,
H,M,3,1,-,204.2478875,-63.6460278,307.9617846,-1.2200309,T,,C
H,M,1,0,+,30.625525,55.6239944,132.9052798,-5.8656272,T,,m
H,M,1,0,+,32.2603042,57.9322028,133.1077539,-3.398155,T,,m
H,M,3,1,-,207.8915958,-58.539525,310.7254845,3.4194283,T,,
H,M,3,1,-,208.2350583,-62.7206222,309.9124811,-0.6853862,T,,
H,M,3,1,-,210.8041125,-62.2607222,311.1771503,-0.5435607,T,,
H,M,3,1,-,211.8777083,-64.4691167,311.015433,-2.7979238,T,,
H,M,3,1,-,211.8568333,-60.4705861,312.1659445,1.0316284,T,,
H,M,3,1,-,212.6832042,-62.4790056,311.9488264,-1.0036027,T,A,
H,M,3,1,-,213.7566708,-61.7067611,312.6657383,-0.424929,T,,
H,M,3,1,-,213.7572708,-61.7074667,312.665784,-0.4256883,T,,
H,M,3,1,-,214.5497375,-51.5038472,316.4043269,9.0840724,T,,
H,M,3,1,-,215.0376708,-61.0818361,313.449561,-0.0347125,T,,
H,M,3,1,-,215.0949542,-60.8895167,313.540417,0.1370545,T,,
H,M,1,0,+,32.3752833,58.7837722,132.9122744,-2.5670713,T,,m
H,M,1,0,+,32.87375,56.1588056,133.9619667,-4.988906,T,,P
H,M,1,0,+,33.9414083,55.9963139,134.5810199,-4.9563724,T,,m
H,M,3,1,-,222.390675,-56.4273444,318.7680993,2.7685546,T,,
H,M,3,1,-,229.7047583,-60.4963333,320.1273916,-2.6422834,T,A,
H,M,1,0,+,35.4683875,56.9050083,135.0766494,-3.8190372,T,N,m
H,M,1,0,+,35.5445875,59.5497,134.2060907,-1.3210834,T,A,m
H,M,1,0,+,35.7262208,41.4799222,140.7778603,-18.2005125,T,,
H,M,1,0,+,36.6958,58.8758639,134.9949014,-1.7446982,T,,m
H,M,3,1,-,242.3174875,-49.6060417,332.4469843,1.5820574,T,,
H,M,3,1,-,243.0012417,-50.3056889,332.2938357,0.7699179,T,,
H,M,3,1,-,247.5971333,-37.9725417,343.3763823,7.1506765,T,,
H,M,3,1,-,248.4682792,-48.1112417,336.366127,-0.2181242,T,R,A
H,M,3,1,-,249.0940167,-42.8588611,340.5375473,3.0057796,T,R,A
H,M,3,1,-,249.2938083,-47.1305139,337.4653791,0.0329892,T,R,A
H,M,1,0,+,36.9992125,52.5493333,137.4610531,-7.5771562,T,,
H,M,1,0,+,38.1772333,61.4559889,134.7243338,0.9247717,T,I,C
H,M,1,0,+,38.205925,61.3783528,134.7665984,0.8582139,T,I,C
H,M,1,0,+,38.335775,61.5217167,134.769193,1.0144116,T,I,C
H,M,1,0,+,38.2349292,55.3275222,137.0917181,-4.729009,T,,m
