Name,RA_ICRS,DE_ICRS,IDFlag,XrayType,Porb,Ppulse,CRSF,SpType,GaiaDR3,FXMMmin,FXMMmax,FChandmin,FChandmax,ChandInst,FXRTmin,FXRTmax,FBATmin,FBATmax,FINTmin,FINTmax,Mass,Dist,Teff,Lopt,Img
HD 153919,255.98656593018,-37.84412027228,0,"             EB,RS,SG",3.41,, ,O6Iafcp,5976382915813535232,19.0626,1490.59,,,    ,1157.000051,1157.000051,3661.16,3661.16,,,1.96,1466,7668.1,,HD_153919.pdf
AX J1714.1-3912,258.432982,-39.201804,2,                     ,,, , ,,2.78232,2.78232,,,    ,,,,,,,,,,,AX_J1714.1-3912.pdf
XTE J1716-389,258.985248,-38.864929,1,                     ,99.1,, , ,,,,0.32626,0.32626,ACIS,,,,,,,,,,,XTE_J1716-389.pdf
IGR J17200-3116,260.02463474661,-31.28321064763,0,                   BE,,328.2, , ,5980409632300781056,28.1757,28.1757,3.761427,3.761427,ACIS,34.14,34.14,37.41,37.41,,,,6067,4902.56,,IGR_J17200-3116.pdf
IGR J17252-3616,261.297465,-36.282646,0,"             EB,SG,XP",9.72,413.7, ,O8.5I,,0.219354,74.2039,,,    ,19.120001,19.120001,136.49,136.49,91.948998,91.948998,1.91,,,,IGR_J17252-3616.pdf
IGR J17354-3255,263.86499688215,-32.93182312091,0,"                SG,XT",8.45,, ,O8.5Iab(f) or O9Iab,4054559284753424000,12.4269,36.0899,2.373881,2.373881,ACIS,7.736,7.736,29.2,29.2,,,,3970,,,IGR_J17354-3255.pdf
IGR J17375-3022,264.390595,-30.387358,2,"                SG,XT",,, , ,,,,,,    ,21.109999,21.109999,,,,,,,,,IGR_J17375-3022.pdf
XTE J1739-302,264.79812927251,-30.34381326585,0,"                SG,XT",51.47,, ,O8Iab(f),4056922105185686784,2.88752,4.82476,6.370375,6.370375,ACIS,14.68,14.68,10.81,10.81,,,,1971,,,XTE_J1739-302.pdf
RX J1739.4-2942,264.874958,-29.702723,2,                   XT,,, ,Be?,,101.945,101.945,,,    ,43.85,43.85,,,,,,,,,RX_J1739.4-2942.pdf
XTE J1743-363,265.75551465281,-36.3728459152,0,                     ,,, ,OI,4040960662373474176,6.57395,6.57395,0.093269,0.093269, HRC,2.151,2.151,15.53,15.53,,,,7758,,,XTE_J1743-363.pdf
1E 1740.7-2942,265.9785107,-29.7452874,2,"                BH,MQ",12.61,, , ,,9.62048,317.761,11.325123,11.325123, HRC,14.919999,259.500005,1038.73,1038.73,,,4.7,,,,1E_1740.7-2942.pdf
HD 161103,266.19068598154,-27.2290321368,0,"              BE,Gcas",,3245, ,B0.5 III-Ve,4060784345959549184,1.32881,2.03471,0.925451,0.925451,ACIS,,,,,,,,1218,40958.2,,HD_161103.pdf
AX J1749.1-2733,267.2787014,-27.5425132,2,"                BE,XT",185.5,132, ,B1-3,,2.44285,11.2799,0.77777,0.77777,ACIS,3.282,3.282,,,15.444001,15.444001,,16000,,,AX_J1749.1-2733.pdf
AX J1749.2-2725,267.3016669,-27.4272862,2,"                XP,XT",,220.38, ,B3,,1.36153,1.84652,0.889891,0.889891,ACIS,0,0,,,12.012,12.012,,14000,,,AX_J1749.2-2725.pdf
GRO J1750-27,267.30403333333,-26.64414722222,0,"             CL,XP,XT",29.8,4.45,43,B1-2,,,,,,    ,48.399999,618.100016,104.26,104.26,55.627002,55.627002,,,,,GRO_J1750-27.pdf
IGR J17503-2636,267.575251,-26.604343,2,"                SG,XT",,, , ,,10.1806,10.1806,,,    ,,,,,,,,,,,IGR_J17503-2636.pdf
IGR J17544-2619,268.60529870303,-26.33127433695,0,"             CL,SG,XT",4.93,71.49,"17,33?",O9Ib,4063908810076415872,0.034304,29.0903,0,0, HRC,26.27,26.27,18.49,18.49,8.58,8.58,,2359,6729.06,,IGR_J17544-2619.pdf
IGR J17586-2129,269.64397104544,-21.3893321092,0,                     ,,, , ,4070770243676311936,8.26059,8.26059,2.505522,2.505522,ACIS,19.450001,19.450001,46.01,46.01,,,,5771,,,IGR_J17586-2129.pdf
IGR J18027-2016,270.67473685833,-20.288166797,0,"BE,CL,EB,QPO,SG,XP,XT",4.57,139.6,24,B1Ib,4070968778561141760,10.9597,53.375,,,    ,0,56.209998,84.45,84.45,,,1.57,5676,5179.7,,IGR_J18027-2016.pdf
IGR J18048-1455,271.16240896149,-14.94643363826,0,                     ,,, , ,4146789141900648576,8.96285,8.96285,0.506874,0.506874, HRC,8.789,8.789,11.48,11.48,,,,4226,,,IGR_J18048-1455.pdf
2MASS J18081689-1919395,272.070386,-19.327656,0,                 Gcas,,, ,Be?,,0.023904,0.023904,,,    ,,,,,,,,,,,2MASS_J18081689-1919395.pdf
Swift J1816.7-1613,274.1780035,-16.2228343,2,                     ,151.1,143.69, ,B0-2e,,1.10239,1.10239,2.036666,2.036666,ACIS,4.926,43.829999,,,,,,,,,Swift_J1816.7-1613.pdf
IGR J18179-1621,274.467438,-16.358791,1,"          BE,CL,XP,XT",,11.82,21, ,,18.6908,18.6908,,,    ,18.55,269.400002,,,,,,,,,IGR_J18179-1621.pdf
SAX J1818.6-1703,274.6579027264,-17.04667815885,0,"                SG,XT",30,, ,B0.5Iab,4097365235226829312,0.034297,16.0512,1.508532,1.508532,ACIS,166.000005,166.000005,,,15.587,15.587,,2742,3506.1,614,SAX_J1818.6-1703.pdf
AX J1820.5-1434,275.1253837,-14.5732045,2,"                BE,XP",111,152.3, ,O9.5-B0Ve,,1.79218,1.79218,0.772654,0.772654,ACIS,25.419999,25.419999,,,17.875,17.875,,,,,AX_J1820.5-1434.pdf
IGR J18214-1318,275.33234250045,-13.31089095675,0,                   SG,5.4246,, ,B0V-O9I,4152643113595580416,16.738,16.738,4.545404,4.545404,ACIS,48.69,48.69,33.33,33.33,,,,4247,,,IGR_J18214-1318.pdf
IGR J18219-1347,275.4783711,-13.7907374,2,                   BE,72.44,52.46, , ,,,,0.432543,0.432543, HRC,8.268,8.268,15.17,15.17,7.007,7.007,,,,,IGR_J18219-1347.pdf
XTE J1824-141,276.11666666667,-14.43833333333,2,                     ,,120, ,Be?,,,,,,    ,,,,,,,,,,,XTE_J1824-141.pdf
IGR J18256-1035,276.433743,-10.58498,0,                     ,,, , ,,,,,,    ,3.287,3.287,,,,,,,,,IGR_J18256-1035.pdf
LS 5039,276.56276812017,-14.84843824831,0,"                GP,RS",3.9,, ,ON6V((f))z,4104196427943626624,5.66537,9.35033,2.026048,2.026048,ACIS,7.636,7.636,32.69,32.69,,,,1886,10433.24,,LS_5039.pdf
XTE J1829-098,277.4332922,-9.8564536,2,"          BE,CL,XP,XT",246,7.85,15,O/B,,123.207,123.207,0,0,ACIS,,,,,,,,,,,XTE_J1829-098.pdf
HESS J1832-093,278.188173,-9.365154,0,                   GP,86,, , ,,0.679959,0.679959,,,    ,0.6298,0.6298,,,,,,,,,HESS_J1832-093.pdf
SS 397,278.36569954826,-10.59012479485,0,                 Gcas,,, ,B0.5Ve,4155000844481174656,0.084021,1.31079,0.031555,0.031555, HRC,0.07574,0.07574,,,,,,1271,33530.3,,SS_397.pdf
NGC 6649 9,278.36791853438,-10.40243295086,0,                 Gcas,,, ,B0Ve,4155023796790984064,0.623166,1.50819,0.086381,0.086381, HRC,0.5853,0.5853,,,,,,1991,35005.1,,NGC_6649_9.pdf
Sct X-1,278.85760175963,-7.61400454598,0,"                XP,XT",,112, ,M5III-V,4156747212545110400,6.63355,6.63355,,,    ,0.774,0.774,,,,,,,,,Sct_X-1.pdf
IGR J18406-0539,280.19535689613,-5.68062809307,1,                   BE,,, ,B5V,4253473896214500096,,,,,    ,,,,,,,,3842,,,IGR_J18406-0539.pdf
AX J1841.0-0536,280.25180474101,-5.59626686559,0,"             SG,XP,XT",,, ,B1Ib,4256500538116700160,0.052882,23.2895,2.49495,2.49495,ACIS,27.24,27.24,,,,,,13801,,,AX_J1841.0-0536.pdf
1AGLR J1839-0550,280.425,-5.85,2,                   XT,,, , ,,,,,,    ,,,,,,,,,,,1AGLR_J1839-0550.pdf
Ginga 1839-04,280.45,-4.45,2,"                XP,XT",,81.1, , ,,,,,,    ,,,,,,,,,,,Ginga_1839-04.pdf
AX J1845.0-0433,281.25661916606,-4.56575904237,1,"                SG,XT",5.72,, ,O9.5I,4258160560148155648,2.73522,42.6244,3.489717,3.489717,ACIS,36.230002,36.230002,,,,,,5201,,,AX_J1845.0-0433.pdf
